"","EIN","NAME","ICO","STREET","CITY","STATE","ZIP","NTEE_CD","totcntrbgfts","totprgmrevnue","invstmntinc","txexmptbndsproceeds","royaltsinc","netrntlinc","netgnls","netincfndrsng","netincgaming","netincsales","miscrevtot11e","totrevenue","grntstogovt","grnsttoindiv","grntstofrgngovt","benifitsmembrs","compnsatncurrofcr","compnsatnandothr","othrsalwages","pensionplancontrb","othremplyeebenef","payrolltx","feesforsrvcmgmt","legalfees","accntingfees","feesforsrvclobby","profndraising","feesforsrvcinvstmgmt","feesforsrvcothr","advrtpromo","officexpns","infotech","royaltsexpns","occupancy","travel","travelofpublicoffcl","converconventmtng","interestamt","pymtoaffiliates","deprcatndepletn","insurance","othrexpnsa","othrexpnsb","othrexpnsc","othrexpnsd","othrexpnse","totfuncexpns","totassetsend","totliabend","retainedearnend","totnetassetend","totnetliabastend"
"11",20531838,"CAMG-S INC","% VINCENT S G","410 N CENTER DRIVE","NORFOLK","VA","23502-4146","F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",20531842,"CAMG-T INC","","410 N CENTER DRIVE","NORFOLK","VA","23502-4146","F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",20531849,"CAMG-U INC","% VINCENT S G","410 N CENTER DRIVE","NORFOLK","VA","23502-4146","F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",20531853,"CAMG-V INC","","410 N CENTER DRIVE","NORFOLK","VA","23502-4146","F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",20535267,"AMERICAN COLLEGE OF OSTEOPATHIC INTERNISTS INC","","4250 N FAIRFAX DRIVE","ARLINGTON","VA","22203-1665","E60",1783890,2217050,108496,0,0,0,6389,0,0,0,5700,4121525,0,0,0,0,598337,0,679220,0,197279,81925,0,8396,101296,0,0,0,201378,11114,0,0,0,167374,46618,0,239844,0,0,34478,0,168244,133346,105166,103394,0,3107857,6707068,1214216,0,5492852,6707068
"16",20600697,"ANGIOMA ALLIANCE","% CORNELIA LEE & KAREN BUCK","977 SEMINOLE TRAIL BOX 367","CHARLOTTESVILLE","VA","22901-2824","G80",818751,0,94,0,0,0,0,0,0,0,11671,830516,0,0,0,0,0,0,204129,0,0,18272,0,4763,7773,0,0,0,111051,923,23790,0,0,2573,3055,0,660,0,0,6863,5837,27150,8172,5948,1730,0,433744,911853,14737,0,897116,911853
"17",20813294,"HARRISONBURG COMMUNITY HEALTH CENTER INC","% TRACY J EVANS II","PO BOX 308","HARRISONBURG","VA","22803-0308","E21",6538543,7782629,2410,0,0,0,-1444,0,0,0,55080,14377218,0,0,0,0,315374,0,6716130,0,588509,502077,0,0,0,0,0,0,1266167,5016,364922,0,0,379512,7284,0,0,50318,0,174582,34066,882251,176358,141473,71372,0,11692777,9413928,2224613,0,7189315,9413928
"18",30416885,"VIRGINIA PROSTATE CANCER COALITION INC","% JOHN J GOULAIT","PO BOX 746","EARLYSVILLE","VA","22936-0746","G30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",30471603,"VIRGINIA SMILES INC","% JOYCE PARRISH","1225 MEADOWBROOK RD","WAYNESBORO","VA","22980-5304","G20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",42617261,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DRIVE","ARLINGTON","VA","22202-3289","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",42618503,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DRIVE","ARLINGTON","VA","22202-3289","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",42628395,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",42644561,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",42647347,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DRIVE","ARLINGTON","VA","22202-3289","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",42661018,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",42680586,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",42697528,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DRIVE","ARLINGTON","VA","22202-3289","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",42731772,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% JAN SZYCHOWSKI","1400 CRYSTAL DRIVE","ARLINGTON","VA","22202-3289","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",42738790,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR","ARLINGTON","VA","22202-3289","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",43161512,"AFGHAN MEDICAL PROFESSIONALS ASSOCIATION OF AMERICA INC","% HOSAI HESHAM","11206 CHAPEL RD","FAIRFAX STA","VA","22039-1524","G12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",43221925,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",43623966,"WELLMAN HOUSE GROUP INC","% KEN COLEMAN","241 GREENHOUSE RD","LEXINGTON","VA","24450-3717","F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",43632101,"COMMONWEALTH FOUNDATION FOR CANCER RESEARCH FOUNDATION","% SHERRY BOWERY","800 EAST CANAL STREET 1900","RICHMOND","VA","23219-0000","H12",3456144,0,615788,0,0,0,12257465,0,0,0,422155,16751552,20214409,0,0,0,15000,0,0,0,0,0,0,20398,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73194,31164,3938,3206,0,20371781,31990703,0,31990703,31990703,31990703
"34",43739083,"ST MARYS HEALTH WAGON","","PO BOX 7070","WISE","VA","24293-7070","E32",9074464,53486,887614,0,0,0,0,0,0,0,0,10015564,0,0,0,0,1405235,0,1874788,0,411526,237914,0,0,69485,0,22800,88305,20150,4201,62777,229747,0,0,45293,0,0,0,0,175964,78128,333369,289844,72554,56439,0,5689708,15771521,227584,0,15543937,15771521
"35",43749735,"BEDFORD DOMESTIC VIOLENCE COALITION","% BEDFORD DOMESTIC VIOLENCE COAL","PO BOX 1044","BEDFORD","VA","24523-1044","F42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",46088271,"MICROCIRCULATORY SOCIETY INC","","2 RIVERSIDE CIR","ROANOKE","VA","24016-4950","G43Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",50523378,"MELVIN WEINSTEIN PARKINSONS FOUNDATION INC","% MARSHA ANTHONY","2224 VIRGINIA BEACH BLVD STE 205","VIRGINIA BCH","VA","23454-4285","G20",62062,0,0,0,0,0,0,0,0,0,0,62062,0,0,0,0,0,0,20541,0,2964,1571,0,0,5305,0,0,0,0,0,995,0,0,8994,0,0,0,30,0,314,697,86270,1181,537,78,0,129503,793895,1155,0,792740,793895
"38",50583393,"CENTRAL VIRGINIA ANGEL HEARTS","% GERILYN DOSS","20 DOGWOOD LN","ALTAVISTA","VA","24517-1014","E11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",50605286,"MEA ALOFA AUTISM SUPPORT CENTER","% CHRISTINE PASSARETTI","4016 RAINTREE RD STE 200A","CHESAPEAKE","VA","23321-3757","G84",164142,888914,21,0,0,0,0,4178,0,0,72,1057327,0,0,0,0,0,0,600104,0,0,45598,0,0,0,0,0,0,567,195,26197,7275,0,73097,0,0,0,0,0,0,8587,91944,11445,10698,7735,0,900726,285913,8152,0,277761,285913
"40",50616089,"UERMMMC MEDICAL ALUMNI ASSOCIATION OF AMERICA INC MARVADC","% ALBERT COO","263 S PICKETT ST APT 401","ALEXANDRIA","VA","22304-4731","E11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",61644517,"RIVERSIDE HEALTHCARE ASSOCIATION INC","% SHERRI DOBBINS","608 DENBIGH BLVD STE 800","NEWPORT NEWS","VA","23608-4487","H20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",61840070,"AMERICAN VETERANS TRIBUTE ORGANIZATION","% AMERICAN VETERANS TRIBUTE ORGANIZ","PO BOX 9469","RICHMOND","VA","23228-0469","F70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",111866747,"AMERICAN PSYCHOSOMATIC SOCIETY INC","","6728 OLD MCLEAN VILLAGE DR","MCLEAN","VA","22101-3906","G99Z",89992,273615,48775,0,290577,0,97737,0,0,0,3604,804300,0,0,0,0,0,0,0,0,0,0,3e+05,0,8560,0,0,9208,2200,0,2599,0,0,22000,0,0,22655,0,0,0,2585,152960,68954,9232,3655,0,631150,2288566,92224,0,2196342,2288566
"44",112779073,"SJOGRENS FOUNDATION INC","","10701 PARKRIDGE BLVD STE 170","RESTON","VA","20191-5326","G40",2391109,514416,24989,0,2800,0,-6986,-19007,0,29391,6768,2943480,175255,0,0,0,500734,0,765286,23194,101711,82300,0,9184,31736,0,0,7207,43035,0,0,17992,0,89377,6773,0,18500,0,0,41336,18204,76642,74556,73327,39743,0,2322444,2799424,728882,0,2070542,2799424
"45",113642526,"TEEN CHALLENGE NORTH CENTRAL VIRGINIA INC","% MICHAEL ZELLO","6806 RIVER RD","FREDERICKSBRG","VA","22407-2326","E99",670170,0,0,0,0,0,94790,0,0,0,0,764960,0,0,0,0,139898,0,118682,0,222995,76660,0,267,0,0,0,0,0,5286,4083,7601,0,45326,176,0,13124,0,0,16716,0,14689,6224,20560,7694,0,750481,823067,88521,734546,734546,823067
"46",113683571,"ROANOKE VALLEY END OF LIFE CARE PARTNERSHIP","% SUZANNE R RANSON","PO BOX 18238","ROANOKE","VA","24014-0825","E70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",113811184,"HOPEWELL HOUSE FOR INDEPENENT LIVING","","5202 WINFIELD RD","FAIRFAX","VA","22030-6547","E99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",131512769,"AMERICAN PHYSICAL THERAPY ASSOCIATION","","3030 POTOMAC AVE STE 100","ALEXANDRIA","VA","22305-3085","E03",2226721,39065621,972338,0,3759553,0,1416739,0,0,32297,0,47473269,1980417,6750,0,0,2349922,0,12235274,1138848,3760123,1005925,0,129125,157892,304235,0,58873,6096652,169660,3001741,59657,0,1442861,615112,0,2342119,0,1487268,403465,291026,1161303,403815,398350,237577,0,41737717,74355430,32754151,0,41601279,74355430
"49",131623888,"AMERICAN DIABETES ASSOCIATION INC","","2451 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4804","G800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",131846366,"MARCH OF DIMES INC","% TERRAN GARUFI","1550 CRYSTAL DR STE 1300","ARLINGTON","VA","22202-4144","G200",100144706,172726,2467684,0,361321,0,0,0,0,5371,161590,103313398,4381169,4000,2065185,0,3886409,0,36636773,926593,5862852,2957913,0,168760,290663,570420,1722681,115692,14387483,2696776,15218021,0,0,3550676,403744,0,199962,0,0,177556,251149,3214979,536827,478845,37341,0,102800561,88338195,86742512,0,1595683,88338195
"51",132593244,"RIVERSIDE RESEARCH INSTITUTE","% PAYROLL DEPARTMENT","2900 CRYSTAL DRIVE - 8TH FLOOR","ARLINGTON","VA","22202-3556","H050",0,123605206,2484764,0,28125,0,1237299,0,0,0,51814,127407208,55000,0,0,0,5327394,0,76904983,3963792,7192325,5199569,0,47157,239103,0,0,47776,10483058,218130,905857,1296340,0,2975042,1634908,0,136637,232757,0,3913080,407148,80938,26052,15003,0,0,121302049,107121507,27516089,0,79605418,107121507
"52",133048373,"AMERICAN SOCIETY OF TRANSPLANT SURGEONS","% KIM GIFFORD","1401 S CLARK ST STE 1120","ARLINGTON","VA","22202-4165","G9BZ",6314454,2363470,22,0,38360,0,0,0,0,409,44245,8760960,0,4176238,0,0,524263,0,959006,51603,143813,108436,4000,5162,178625,114000,0,0,621746,0,127879,140466,0,144750,15843,0,36618,0,0,28049,36396,49439,20541,17300,0,0,7518873,5754828,1712142,0,4042686,5754828
"53",133271855,"AMYOTROPHIC LATERAL SCLEROSIS ASSN","","1300 WILSON BLVD STE 600","ARLINGTON","VA","22209-2335","G500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",133351127,"FBIAA MEMORIAL COLLEGE FUND","% FBI AGENTS ASSOCIATION","PO BOX 3","ALEXANDRIA","VA","22313-0003","F03",264367,0,199799,0,0,0,605493,512252,0,0,0,1581911,0,626166,0,0,0,0,0,0,0,0,0,2462,15950,0,0,78530,0,0,4472,2691,0,0,0,0,0,0,0,0,1371,1550,0,0,0,0,733192,15501953,12541,0,15489412,15501953
"55",133506107,"COMMUNITY HEALTH ACCREDITATION PROGRAM INC","% SCOTT KRAMP","2300 CLARENDON BOULEVARD","ARLINGTON","VA","22201-3398","E03",1420057,16366855,131014,0,0,0,383119,0,0,0,19223,18320268,0,0,0,0,604555,0,7383834,194596,720435,545032,0,32907,50361,0,0,0,569072,86769,64191,266345,21400,615547,2570667,0,97418,0,0,311741,125181,241315,152818,47684,0,0,14701868,22682316,8020390,0,14661926,22682316
"56",133969722,"WHAT TO EXPECT PROJECT","","PO BOX 6233","ARLINGTON","VA","22206-0233","E99Z",340050,200053,405,0,0,0,0,0,0,0,0,540508,0,0,0,0,187211,0,376658,9518,47750,43534,0,31739,20550,0,0,0,125155,0,8265,0,0,0,1383,0,0,0,0,276,446,12914,10959,7518,3953,0,889787,284342,44731,0,239611,284342
"57",134103202,"M OKADA FOUNDATION OF AMERICA","% KAZUKO KANO","14556 OAKMERE DR","CENTREVILLE","VA","20120-1395","H40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
