"","EIN","NAME","ICO","STREET","CITY","STATE","ZIP","GROUP","SUBSECTION","AFFILIATION","CLASSIFICATION","RULING","DEDUCTIBILITY","FOUNDATION","ACTIVITY","ORGANIZATION","STATUS","TAX_PERIOD","ASSET_CD","INCOME_CD","FILING_REQ_CD","PF_FILING_REQ_CD","ACCT_PD","ASSET_AMT","INCOME_AMT","REVENUE_AMT","NTEE_CD","totcntrbgfts","totprgmrevnue","invstmntinc","txexmptbndsproceeds","royaltsinc","netrntlinc","netgnls","netincfndrsng","netincgaming","netincsales","miscrevtot11e","totrevenue","grntstogovt","grnsttoindiv","grntstofrgngovt","benifitsmembrs","compnsatncurrofcr","compnsatnandothr","othrsalwages","pensionplancontrb","othremplyeebenef","payrolltx","feesforsrvcmgmt","legalfees","accntingfees","feesforsrvclobby","profndraising","feesforsrvcinvstmgmt","feesforsrvcothr","advrtpromo","officexpns","infotech","royaltsexpns","occupancy","travel","travelofpublicoffcl","converconventmtng","interestamt","pymtoaffiliates","deprcatndepletn","insurance","othrexpnsa","othrexpnsb","othrexpnsc","othrexpnsd","othrexpnse","totfuncexpns","totassetsend","totliabend","retainedearnend","totnetassetend","totnetliabastend"
"11",20531838,"CAMG-S INC","% VINCENT S G","410 N CENTER DRIVE","NORFOLK","VA","23502-4146",0,3,3,1000,200212,1,15,0,1,1,202306,0,0,2,0,6,0,0,0,"F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",20531842,"CAMG-T INC","","410 N CENTER DRIVE","NORFOLK","VA","23502-4146",0,3,3,1000,201007,1,15,0,1,1,202306,0,0,2,0,6,0,0,0,"F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",20531849,"CAMG-U INC","% VINCENT S G","410 N CENTER DRIVE","NORFOLK","VA","23502-4146",0,3,3,1000,201007,1,15,0,1,1,202306,0,0,2,0,6,0,0,0,"F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",20531853,"CAMG-V INC","","410 N CENTER DRIVE","NORFOLK","VA","23502-4146",0,3,3,1000,201007,1,15,0,1,1,202306,0,0,2,0,6,0,0,0,"F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",20535267,"AMERICAN COLLEGE OF OSTEOPATHIC INTERNISTS INC","","4250 N FAIRFAX DRIVE","ARLINGTON","VA","22203-1665",0,3,3,1000,200207,1,16,0,1,1,202206,7,7,1,0,6,6444455,6375508,4032744,"E60",1783890,2217050,108496,0,0,0,6389,0,0,0,5700,4121525,0,0,0,0,598337,0,679220,0,197279,81925,0,8396,101296,0,0,0,201378,11114,0,0,0,167374,46618,0,239844,0,0,34478,0,168244,133346,105166,103394,0,3107857,6707068,1214216,0,5492852,6707068
"16",20600697,"ANGIOMA ALLIANCE","% CORNELIA LEE & KAREN BUCK","977 SEMINOLE TRAIL BOX 367","CHARLOTTESVILLE","VA","22901-2824",0,3,3,1000,200207,1,15,0,1,1,202309,6,6,1,0,9,1134529,1324933,1292022,"G80",818751,0,94,0,0,0,0,0,0,0,11671,830516,0,0,0,0,0,0,204129,0,0,18272,0,4763,7773,0,0,0,111051,923,23790,0,0,2573,3055,0,660,0,0,6863,5837,27150,8172,5948,1730,0,433744,911853,14737,0,897116,911853
"17",20813294,"HARRISONBURG COMMUNITY HEALTH CENTER INC","% TRACY J EVANS II","PO BOX 308","HARRISONBURG","VA","22803-0308",0,3,3,1000,200803,1,16,0,1,1,202212,8,8,1,0,12,11848546,13780774,13780774,"E21",6538543,7782629,2410,0,0,0,-1444,0,0,0,55080,14377218,0,0,0,0,315374,0,6716130,0,588509,502077,0,0,0,0,0,0,1266167,5016,364922,0,0,379512,7284,0,0,50318,0,174582,34066,882251,176358,141473,71372,0,11692777,9413928,2224613,0,7189315,9413928
"18",30416885,"VIRGINIA PROSTATE CANCER COALITION INC","% JOHN J GOULAIT","PO BOX 746","EARLYSVILLE","VA","22936-0746",0,3,3,1000,200207,1,15,0,1,1,202302,0,0,2,0,2,0,0,0,"G30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",30471603,"VIRGINIA SMILES INC","% JOYCE PARRISH","1225 MEADOWBROOK RD","WAYNESBORO","VA","22980-5304",0,3,3,1200,200212,1,15,0,1,1,202312,0,0,2,0,12,0,0,0,"G20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",42617261,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DRIVE","ARLINGTON","VA","22202-3289",2628,3,9,1200,197506,1,16,995263059,5,1,202012,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",42618503,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DRIVE","ARLINGTON","VA","22202-3289",2628,3,9,1200,197506,1,16,995263059,5,1,202312,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",42628395,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153",2628,3,9,1200,197506,1,16,995263059,5,1,202212,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",42644561,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153",2628,3,9,1200,197506,1,16,995263059,5,1,202312,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",42647347,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DRIVE","ARLINGTON","VA","22202-3289",2628,3,9,1200,197506,1,16,995263059,5,1,202212,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",42661018,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153",2628,3,9,1200,197506,1,16,995263059,5,1,202212,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",42680586,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153",2628,3,9,1200,197506,1,16,995263059,5,1,202212,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",42697528,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DRIVE","ARLINGTON","VA","22202-3289",2628,3,9,1200,197506,1,16,995263059,5,1,202212,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",42731772,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% JAN SZYCHOWSKI","1400 CRYSTAL DRIVE","ARLINGTON","VA","22202-3289",2628,3,9,1200,197506,1,16,995263059,5,1,202112,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",42738790,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR","ARLINGTON","VA","22202-3289",2628,3,9,1200,197506,1,16,995263059,5,1,202212,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",43161512,"AFGHAN MEDICAL PROFESSIONALS ASSOCIATION OF AMERICA INC","% HOSAI HESHAM","11206 CHAPEL RD","FAIRFAX STA","VA","22039-1524",0,3,3,1000,201404,1,16,151994910,1,1,202212,1,4,1,0,12,1691,195779,195779,"G12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",43221925,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153",2628,3,9,1200,197506,1,16,995263059,5,1,202112,0,0,2,0,12,0,0,0,"E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",43623966,"WELLMAN HOUSE GROUP INC","% KEN COLEMAN","241 GREENHOUSE RD","LEXINGTON","VA","24450-3717",0,3,3,1000,200211,1,15,0,1,1,202212,4,3,2,0,12,209751,32311,32311,"F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",43632101,"COMMONWEALTH FOUNDATION FOR CANCER RESEARCH FOUNDATION","% SHERRY BOWERY","800 EAST CANAL STREET 1900","RICHMOND","VA","23219-0000",0,3,3,1000,200206,1,21,0,1,1,202212,8,9,1,0,12,34835660,51570092,50354014,"H12",3456144,0,615788,0,0,0,12257465,0,0,0,422155,16751552,20214409,0,0,0,15000,0,0,0,0,0,0,20398,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73194,31164,3938,3206,0,20371781,31990703,0,31990703,31990703,31990703
"34",43739083,"ST MARYS HEALTH WAGON","","PO BOX 7070","WISE","VA","24293-7070",0,3,3,1000,200406,1,12,0,1,1,202212,8,7,1,0,12,18062114,9213481,9213481,"E32",9074464,53486,887614,0,0,0,0,0,0,0,0,10015564,0,0,0,0,1405235,0,1874788,0,411526,237914,0,0,69485,0,22800,88305,20150,4201,62777,229747,0,0,45293,0,0,0,0,175964,78128,333369,289844,72554,56439,0,5689708,15771521,227584,0,15543937,15771521
"35",43749735,"BEDFORD DOMESTIC VIOLENCE COALITION","% BEDFORD DOMESTIC VIOLENCE COAL","PO BOX 1044","BEDFORD","VA","24523-1044",0,3,3,1000,201310,1,15,0,1,1,202312,0,0,2,0,12,0,0,0,"F42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",46088271,"MICROCIRCULATORY SOCIETY INC","","2 RIVERSIDE CIR","ROANOKE","VA","24016-4950",0,3,3,2800,195704,1,15,161180059,1,1,202205,4,3,2,0,5,417335,40585,40585,"G43Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",50523378,"MELVIN WEINSTEIN PARKINSONS FOUNDATION INC","% MARSHA ANTHONY","2224 VIRGINIA BEACH BLVD STE 205","VIRGINIA BCH","VA","23454-4285",0,3,3,1000,201602,1,15,0,1,1,202206,5,3,1,0,6,641402,60535,60535,"G20",62062,0,0,0,0,0,0,0,0,0,0,62062,0,0,0,0,0,0,20541,0,2964,1571,0,0,5305,0,0,0,0,0,995,0,0,8994,0,0,0,30,0,314,697,86270,1181,537,78,0,129503,793895,1155,0,792740,793895
"38",50583393,"CENTRAL VIRGINIA ANGEL HEARTS","% GERILYN DOSS","20 DOGWOOD LN","ALTAVISTA","VA","24517-1014",0,3,3,1000,200601,1,15,0,1,1,202312,0,0,2,0,12,0,0,0,"E11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",50605286,"MEA ALOFA AUTISM SUPPORT CENTER","% CHRISTINE PASSARETTI","4016 RAINTREE RD STE 200A","CHESAPEAKE","VA","23321-3757",0,3,3,1200,200603,1,15,0,1,1,202306,4,6,1,0,6,355993,1195718,1195097,"G84",164142,888914,21,0,0,0,0,4178,0,0,72,1057327,0,0,0,0,0,0,600104,0,0,45598,0,0,0,0,0,0,567,195,26197,7275,0,73097,0,0,0,0,0,0,8587,91944,11445,10698,7735,0,900726,285913,8152,0,277761,285913
"40",50616089,"UERMMMC MEDICAL ALUMNI ASSOCIATION OF AMERICA INC MARVADC","% ALBERT COO","263 S PICKETT ST APT 401","ALEXANDRIA","VA","22304-4731",0,3,3,1000,200805,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"E11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",61644517,"RIVERSIDE HEALTHCARE ASSOCIATION INC","% SHERRI DOBBINS","608 DENBIGH BLVD STE 800","NEWPORT NEWS","VA","23608-4487",5701,3,9,1000,201004,1,17,0,1,1,201012,4,4,1,0,12,463178,360489,360489,"H20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",61840070,"AMERICAN VETERANS TRIBUTE ORGANIZATION","% AMERICAN VETERANS TRIBUTE ORGANIZ","PO BOX 9469","RICHMOND","VA","23228-0469",0,3,3,1000,201302,1,15,0,1,1,202106,0,0,2,0,6,0,0,0,"F70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",111866747,"AMERICAN PSYCHOSOMATIC SOCIETY INC","","6728 OLD MCLEAN VILLAGE DR","MCLEAN","VA","22101-3906",0,3,3,2800,194403,1,16,59000000,1,1,202210,6,5,1,0,10,1862845,990344,856360,"G99Z",89992,273615,48775,0,290577,0,97737,0,0,0,3604,804300,0,0,0,0,0,0,0,0,0,0,3e+05,0,8560,0,0,9208,2200,0,2599,0,0,22000,0,0,22655,0,0,0,2585,152960,68954,9232,3655,0,631150,2288566,92224,0,2196342,2288566
"44",112779073,"SJOGRENS FOUNDATION INC","","10701 PARKRIDGE BLVD STE 170","RESTON","VA","20191-5326",0,3,3,1000,198605,1,15,179994000,1,1,202306,6,6,1,0,6,3694277,3912670,3324713,"G40",2391109,514416,24989,0,2800,0,-6986,-19007,0,29391,6768,2943480,175255,0,0,0,500734,0,765286,23194,101711,82300,0,9184,31736,0,0,7207,43035,0,0,17992,0,89377,6773,0,18500,0,0,41336,18204,76642,74556,73327,39743,0,2322444,2799424,728882,0,2070542,2799424
"45",113642526,"TEEN CHALLENGE NORTH CENTRAL VIRGINIA INC","% MICHAEL ZELLO","6806 RIVER RD","FREDERICKSBRG","VA","22407-2326",0,3,3,1000,200311,1,15,0,1,1,202212,6,6,1,0,12,1858894,1820244,1820244,"E99",670170,0,0,0,0,0,94790,0,0,0,0,764960,0,0,0,0,139898,0,118682,0,222995,76660,0,267,0,0,0,0,0,5286,4083,7601,0,45326,176,0,13124,0,0,16716,0,14689,6224,20560,7694,0,750481,823067,88521,734546,734546,823067
"46",113683571,"ROANOKE VALLEY END OF LIFE CARE PARTNERSHIP","% SUZANNE R RANSON","PO BOX 18238","ROANOKE","VA","24014-0825",0,3,3,2000,200308,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"E70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
